Company,Product,Type_Name,Inches,Ram,OS,Weight,Price_EUR,Screen,ScreenW,ScreenH,Touch_Screen,IPS_Panel,Retina_Display,CPU_company,CPU_Frequency_GHz,CPU_model,Primary_Storage_GB,Secondary_Storage,Primary_Storage_Type,Secondary_Storage_Type,GPU_company,GPU_model
Apple,MacBook Pro,Ultrabook,13.30,8,macOS,1.37,1339.69,Standard,2560,1600,No,Yes,Yes,Intel,2.30,Core i5,128,0,SSD,No,Intel,Iris Plus Graphics 640
Apple,Macbook Air,Ultrabook,13.30,8,macOS,1.34,898.94,Standard,1440,900,No,No,No,Intel,1.80,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000
HP,250 G6,Notebook,15.60,8,No OS,1.86,575.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
Apple,MacBook Pro,Ultrabook,15.40,16,macOS,1.83,2537.45,Standard,2880,1800,No,Yes,Yes,Intel,2.70,Core i7,512,0,SSD,No,AMD,Radeon Pro 455
Apple,MacBook Pro,Ultrabook,13.30,8,macOS,1.37,1803.60,Standard,2560,1600,No,Yes,Yes,Intel,3.10,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 650
Acer,Aspire 3,Notebook,15.60,4,Windows 10,2.10,400.00,Standard,1366,768,No,No,No,AMD,3.00,A9-Series 9420,500,0,HDD,No,AMD,Radeon R5
Apple,MacBook Pro,Ultrabook,15.40,16,Mac OS X,2.04,2139.97,Standard,2880,1800,No,Yes,Yes,Intel,2.20,Core i7,256,0,Flash Storage,No,Intel,Iris Pro Graphics
Apple,Macbook Air,Ultrabook,13.30,8,macOS,1.34,1158.70,Standard,1440,900,No,No,No,Intel,1.80,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000
Asus,ZenBook UX430UN,Ultrabook,14.00,16,Windows 10,1.30,1495.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,512,0,SSD,No,Nvidia,GeForce MX150
Acer,Swift 3,Ultrabook,14.00,8,Windows 10,1.60,770.00,Full HD,1920,1080,No,Yes,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620
HP,250 G6,Notebook,15.60,4,No OS,1.86,393.90,Standard,1366,768,No,No,No,Intel,2.50,Core i5 7200U,500,0,HDD,No,Intel,HD Graphics 620
HP,250 G6,Notebook,15.60,4,No OS,1.86,344.99,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520
Apple,MacBook Pro,Ultrabook,15.40,16,macOS,1.83,2439.97,Standard,2880,1800,No,Yes,Yes,Intel,2.80,Core i7,256,0,SSD,No,AMD,Radeon Pro 555
Dell,Inspiron 3567,Notebook,15.60,4,Windows 10,2.20,498.90,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430
Apple,"MacBook 12""",Ultrabook,12.00,8,macOS,0.92,1262.40,Standard,2304,1440,No,Yes,Yes,Intel,1.20,Core M m3,256,0,SSD,No,Intel,HD Graphics 615
Apple,MacBook Pro,Ultrabook,13.30,8,macOS,1.37,1518.55,Standard,2560,1600,No,Yes,Yes,Intel,2.30,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 640
Dell,Inspiron 3567,Notebook,15.60,8,Windows 10,2.20,745.00,Full HD,1920,1080,No,No,No,Intel,2.70,Core i7 7500U,256,0,SSD,No,AMD,Radeon R5 M430
Apple,MacBook Pro,Ultrabook,15.40,16,macOS,1.83,2858.00,Standard,2880,1800,No,Yes,Yes,Intel,2.90,Core i7,512,0,SSD,No,AMD,Radeon Pro 560
Lenovo,IdeaPad 320-15IKB,Notebook,15.60,8,No OS,2.20,499.00,Full HD,1920,1080,No,No,No,Intel,2.40,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 940MX
Dell,XPS 13,Ultrabook,13.30,8,Windows 10,1.22,979.00,Full HD,1920,1080,Yes,Yes,No,Intel,1.60,Core i5 8250U,128,0,SSD,No,Intel,UHD Graphics 620
Asus,Vivobook E200HA,Netbook,11.60,2,Windows 10,0.98,191.90,Standard,1366,768,No,No,No,Intel,1.44,Atom x5-Z8350,32,0,Flash Storage,No,Intel,HD Graphics 400
Lenovo,Legion Y520-15IKBN,Gaming,15.60,8,Windows 10,2.50,999.00,Full HD,1920,1080,No,Yes,No,Intel,2.50,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050
HP,255 G6,Notebook,15.60,4,No OS,1.86,258.00,Standard,1366,768,No,No,No,AMD,1.50,E-Series E2-9000e,500,0,HDD,No,AMD,Radeon R2
Dell,Inspiron 5379,2 in 1 Convertible,13.30,8,Windows 10,1.62,819.00,Full HD,1920,1080,Yes,No,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.60,8,Windows 10,1.91,659.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,256,0,SSD,No,Intel,HD Graphics 620
Dell,Inspiron 3567,Notebook,15.60,4,Windows 10,2.30,418.64,Standard,1366,768,No,No,No,Intel,2.00,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520
Apple,MacBook Air,Ultrabook,13.30,8,Mac OS X,1.35,1099.00,Standard,1440,900,No,No,No,Intel,1.60,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000
Dell,Inspiron 5570,Notebook,15.60,8,Windows 10,2.20,800.00,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,AMD,Radeon 530
Dell,Latitude 5590,Ultrabook,15.60,8,Windows 10,1.88,1298.00,Full HD,1920,1080,No,No,No,Intel,1.90,Core i7 8650U,256,256,SSD,SSD,Intel,UHD Graphics 620
HP,ProBook 470,Notebook,17.30,8,Windows 10,2.50,896.00,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 930MX
Chuwi,"LapBook 15.6""",Notebook,15.60,4,Windows 10,1.89,244.99,Full HD,1920,1080,No,No,No,Intel,1.44,Atom x5-Z8300,64,0,Flash Storage,No,Intel,HD Graphics
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.00,2,Windows 10,1.65,199.00,Standard,1366,768,No,No,No,AMD,1.50,E-Series E2-6110,32,0,Flash Storage,No,AMD,Radeon R2
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.30,4,Windows 10,2.71,439.00,Full HD,1920,1080,No,No,No,AMD,2.50,A6-Series 9220,500,0,HDD,No,AMD,Radeon 530
Dell,XPS 13,Ultrabook,13.30,16,Windows 10,1.20,1869.00,Quad HD+,3200,1800,Yes,No,No,Intel,1.80,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620
Apple,MacBook Air,Ultrabook,13.30,8,Mac OS X,1.35,998.00,Standard,1440,900,No,No,No,Intel,1.60,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000
Lenovo,IdeaPad 120S-14IAP,Notebook,14.00,4,Windows 10,1.44,249.00,Standard,1366,768,No,No,No,Intel,1.10,Celeron Dual Core N3350,64,0,Flash Storage,No,Intel,HD Graphics 500
Acer,Aspire 3,Notebook,15.60,4,Linux,2.10,367.00,Standard,1366,768,No,No,No,Intel,2.70,Core i3 7130U,1024,0,HDD,No,Intel,HD Graphics 620
Dell,Inspiron 5770,Notebook,17.30,8,Windows 10,2.80,979.00,Full HD,1920,1080,No,Yes,No,Intel,1.60,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530
HP,250 G6,Notebook,15.60,4,Windows 10,1.86,488.69,Standard,1366,768,No,No,No,Intel,2.50,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620
HP,ProBook 450,Notebook,15.60,8,Windows 10,2.10,879.00,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,Nvidia,GeForce 930MX 
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.60,4,Linux,2.00,389.00,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 620
Dell,Inspiron 7577,Gaming,15.60,16,Windows 10,2.65,1499.00,Full HD,1920,1080,No,Yes,No,Intel,2.80,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1060
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.60,8,Linux,2.30,522.99,Standard,1366,768,No,No,No,Intel,2.50,Core i5 7200U,1024,0,HDD,No,Nvidia,GeForce 940MX
Acer,Aspire A515-51G,Notebook,15.60,4,Windows 10,2.20,682.00,Full HD,1920,1080,No,Yes,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620
Dell,Inspiron 7773,2 in 1 Convertible,17.30,12,Windows 10,2.77,999.00,Full HD,1920,1080,Yes,No,No,Intel,1.60,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 150MX
Apple,MacBook Pro,Ultrabook,13.30,8,macOS,1.37,1419.00,Standard,2560,1600,No,Yes,Yes,Intel,2.00,Core i5,256,0,SSD,No,Intel,Iris Graphics 540
Lenovo,IdeaPad 320-15ISK,Notebook,15.60,4,No OS,2.20,369.00,Standard,1366,768,No,No,No,Intel,2.00,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520
Asus,Rog Strix,Gaming,17.30,8,Windows 10,3.20,1299.00,Full HD,1920,1080,No,No,No,AMD,3.00,Ryzen 1700,256,1024,SSD,HDD,AMD,Radeon RX 580
Dell,Inspiron 3567,Notebook,15.60,4,Windows 10,2.30,639.00,Full HD,1920,1080,No,No,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,AMD,Radeon R5 M430
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.30,4,Windows 10,2.80,466.00,Standard,1366,768,No,No,No,Intel,1.10,Pentium Quad Core N4200,1024,0,HDD,No,Nvidia,GeForce 920MX
Lenovo,Yoga Book,2 in 1 Convertible,10.10,4,Android,0.69,319.00,Standard,1920,1200,Yes,Yes,No,Intel,1.44,Atom x5-Z8550,64,0,Flash Storage,No,Intel,HD Graphics 400
Acer,Aspire A515-51G,Notebook,15.60,8,Windows 10,2.20,841.00,Full HD,1920,1080,No,Yes,No,Intel,1.80,Core i7 8550U,256,0,SSD,No,Nvidia,GeForce MX150
HP,255 G6,Notebook,15.60,4,Windows 10,1.86,398.49,Full HD,1920,1080,No,No,No,AMD,2.50,A6-Series 9220,256,0,SSD,No,AMD,Radeon R4 Graphics
HP,ProBook 430,Notebook,13.30,8,Windows 10,1.49,1103.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620
Acer,Aspire 3,Notebook,15.60,4,Windows 10,2.40,384.00,Standard,1366,768,No,No,No,Intel,2.40,Core i3 7100U,1024,0,HDD,No,Intel,HD Graphics 620
Dell,Inspiron 3576,Notebook,15.60,8,Windows 10,2.13,767.80,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,256,0,SSD,No,AMD,Radeon 520
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.60,4,Windows 10,1.91,439.00,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520
Asus,VivoBook Max,Notebook,15.60,4,Windows 10,2.00,586.19,Standard,1366,768,No,No,No,Intel,2.50,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620
MSI,GS73VR 7RG,Gaming,17.30,16,Windows 10,2.43,2449.00,Full HD,1920,1080,No,No,No,Intel,2.80,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1070
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.60,4,Linux,2.00,415.00,Full HD,1920,1080,No,No,No,Intel,2.00,Core i3 6006U,256,0,SSD,No,Intel,HD Graphics 520
Dell,Inspiron 5770,Notebook,17.30,16,Windows 10,2.80,1299.00,Full HD,1920,1080,No,No,No,Intel,1.80,Core i7 8550U,256,2048,SSD,HDD,AMD,Radeon 530
Dell,Vostro 5471,Ultrabook,14.00,8,Windows 10,1.70,879.00,Full HD,1920,1080,No,No,No,Intel,1.60,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620
